product_name,product_id,aisle_id,department_id,Source
Distilled Water,23288,115,7,Other
Unsweetened Blackberry Water,10339,115,7,Other
Raspberry Essence Water,49519,115,7,Other
"Water, Unsweet, Crisp Apple",48453,115,7,Other
Unsweetened Pomegranate Essence Water,22832,115,7,Other
100% Natural Spring Water,12606,115,7,Other
Pure Water,13944,115,7,Other
Raspberry Lime Seltzer,30975,115,7,Other
Perrier Lime,38889,115,7,Other
Lemon Sparkling Mountain Spring Water,40997,115,7,Other
Coconut Flavored Sparkling Water,35989,115,7,Other
Natural Artesian Water,14233,115,7,Other
Natural Artesian Bottled Water,6182,115,7,Other
"Natural Artesian Water, Mini & Mobile",13245,115,7,Other
Seltzer Calorie-free,15030,115,7,Other
Zero Strawberry Lemon,659,115,7,Other
"Sparkling Water, Natural Mango Essenced",12302,115,7,Other
Grapefruit Sparkling Water,47977,115,7,Other
Peach-Pear Sparkling Water,1831,115,7,Other
Pineapple Strawberry Sparkling Water,27275,115,7,Other
Natural Alpine Spring Water,10851,115,7,Other
Tonic Water,35948,115,7,Other
Unsweet Peach Water,4952,115,7,Other
Unsweetened Watermelon Water,17530,115,7,Other
Alpine Spring Water,27325,115,7,Other
smartwater® Electrolyte Enhanced Water,36107,115,7,Other
"Sparkling Mineral Water, Natural Lemon Flavor",7026,115,7,Other
Water Mineral,35470,115,7,Other
Lime Italian Sparkling Mineral Water,36216,115,7,Other
"Water, Unsweet, Blood Orange",22491,115,7,Other
Unsweetened Honeydew Essence Water,45343,115,7,Other
Amaaazing Blueberry Apple Juice Blend Drink,49021,115,7,Other
Water New Zealand,48465,115,7,Other
New Zealand Artesian Water,29869,115,7,Other
"Sparkling Water, Bottles",11885,115,7,Other
Sport Bottle with Flip Cap Natural Spring Water,12640,115,7,Other
Original Sparkling Seltzer Water,16207,115,7,Other
Lemon Cucumber Sparkling Water,44631,115,7,Other
Slim Can Lime Sparkling Natural Mineral Water,3664,115,7,Other
High pH 9+ Alkaline Ionized Water,23254,115,7,Other
Cran Raspberry Sparkling Water,49191,115,7,Other
Lemon Lime Seltzer,32978,115,7,Other
Organic Coconut Water,18023,115,7,Other
Natural Lemon Flavor Sparkling Mineral Water,46485,115,7,Other
Sparkling Orange Juice & Prickly Pear Beverage,10,115,7,Other
1 Liter,5428,115,7,Other
Classic Lemonade,9458,115,7,Other
Pure Life Purified Water,35507,115,7,Other
Curate Melon Pomelo Sparking Water,45747,115,7,Other
Mineral Water,22802,115,7,Other
Raspberry Blackberry Sparkling Water,48552,115,7,Other
Drinking Water,40939,115,7,Other
Clementina Sparkling Beverage,17080,115,7,Other
Sparkling Seltzer Water,10655,115,7,Other
Strawberry Peach Still Artesian Water,43351,115,7,Other
Distilled Drinking Water,34075,115,7,Other
Lime Slim Can,48015,115,7,Other
Sparkling Natural Spring Water,9623,115,7,Other
Curate Pomme Baya-Apple Berry Sparkling Water,41682,115,7,Other
Sparkling Mountain Spring Water Watermelon Lime,4776,115,7,Other
Lemon Orange Sparking Mineral Water,17907,115,7,Other
Unsweet Pineapple Water,13596,115,7,Other
Pineapple Strawberry Naturally Essenced Sparkling Water,28342,115,7,Other
Sparkling Spring Water,2830,115,7,Other
Original Sparkling Water,46325,115,7,Other
Mountain Spring Water,3873,115,7,Other
Orange Sparkling Water Beverage,38041,115,7,Other
DRINKING WATER,34945,115,7,Other
L'Orange Sparkling Natural Mineral Water,28610,115,7,Other
Variety Pack Splash Water Beverage,25605,115,7,Other
Spring Water Infused with Fulvic Acid,43001,115,7,Other
Coconut Sparkling Water,12919,115,7,Other
Purified Drinking Water,36691,115,7,Other
Original Seltzer Water,42504,115,7,Other
Orange Seltzer Water,24267,115,7,Other
Purified Alkalkine Water with Minerals pH10,13128,115,7,Other
Naturally Alkaline Spring Water,45303,115,7,Other
Bottled Water,27024,115,7,Other
"Water, Natural Spring",28044,115,7,Other
Natural 8 fl oz Alpine Spring Water,42387,115,7,Other
Lemon Sparkling Mineral Water,40795,115,7,Other
Superior Club Soda,7645,115,7,Other
Sparkling Water Blackberry Pear,18333,115,7,Other
Lemon Seltzer,27090,115,7,Other
Seltzer Calorie-free Cranberry Lime,32044,115,7,Other
Pure Life Water,9829,115,7,Other
Carbon Filtered Water,35544,115,7,Other
Raspberry Lime Sparkling Seltzer Water,8834,115,7,Other
Natural Orange Flavor Sparkling Mineral Water,25926,115,7,Other
Original Sparkling Seltzer Water Cans,31764,115,7,Other
Minis to Go Natural Spring Water,42791,115,7,Other
S. Pellegrino Sparkling Natural Mineral Water,3042,115,7,Other
Electrolyte Water,23650,115,7,Other
Watermelon Lime Sparkling Mountain Spring Water,6023,115,7,Other
Natural Lime Flavor Sparkling Mineral Water,7350,115,7,Other
Very Berry Flavor Sparking Mineral Water,49609,115,7,Other
Classic Carbonated Natural Mineral Water,5457,115,7,Other
Artesian Sparkling Water,37774,115,7,Other
Raw Coconut Water With Fair Trade Coffee,31713,115,7,Other
Real2 Alkalized Water 500 ml,35496,115,7,Other
Lemon Lime Sparkling Seltzer Water,36603,115,7,Other
Pink Grapefruit Sparkling Natural Mineral Water,39115,115,7,Other
Mandarin Orange Sparkling Water,5711,115,7,Other
Orange Mango Sparkling Water,4895,115,7,Other
Sparkling Kiwi Strawberry Soda,47842,115,7,Other
Cherry Limeade Sparkling Water,30266,115,7,Other
"Purified Water, 9.5pH+",48095,115,7,Other
Spearmint Water,26101,115,7,Other
Lime Flavored Flavored Sparkling Water,17771,115,7,Other
Peach Pear Sparkling Water,40488,115,7,Other
Very Berry Flavor Sparkling Mineral Water,3090,115,7,Other
Black Cherry Sparkling Water Beverage,42764,115,7,Other
Pineapple Coconut Sparkling Water,44902,115,7,Other
Original Sparkling Mountain Spring Water,20916,115,7,Other
Black Raspberry Sparkling Water Drink,33852,115,7,Other
Organic Sparkling Black Cherry Beverage,41359,115,7,Other
Unsweetened Strawberry Kiwi Water,5487,115,7,Other
Key Lime Sparkling Water,29886,115,7,Other
Black Cherry Sparkling Water,34389,115,7,Other
9.5 pH Super Hydrating Purified Water,1096,115,7,Other
Limonata Sparkling Beverage,28004,115,7,Other
Alkalized Water,35649,115,7,Other
Smartwater® Vapor Distilled Water,23043,115,7,Other
Kiwi Strawberry Sparkling Water,223,115,7,Other
NiCola Sparkling Water,21380,115,7,Other
Black Cherry Seltzer,37943,115,7,Other
Mandarin Orange Sparkling  Water,31382,115,7,Other
Lime Seltzer,14709,115,7,Other
Strawberry Watermelon Sparkling Water,19078,115,7,Other
Pear Acai Flavor Enhancer,13458,115,7,Other
Core Hydration Water,34902,115,7,Other
Artesian Water,45113,115,7,Other
Mandarin Orange Essence Sparkling Natural Spring Water,2971,115,7,Other
Naturally Light Indian Tonic Water,47025,115,7,Other
Alkalized Water With Electrolytes,48426,115,7,Other
Organic Raw Maple Water,14845,115,7,Other
Pink Grapefruit,19953,115,7,Other
Hawaiian Volcanic Water,31918,115,7,Other
Chinotto,20994,115,7,Other
Sparkling Raspberry Seltzer,44,115,7,Other
Alkaline Water,41330,115,7,Other
Lemon Lime Sparkling Water,28296,115,7,Other
Unsweet Blackberry Sparkling Water,7303,115,7,Other
Grapefruit Fizz Water,30334,115,7,Other
Unsweet Peach Sparkling Water,1998,115,7,Other
"Sparkling Mineral Water, Classic",46433,115,7,Other
Seltzer Water Calorie-Free Black Cherry,31140,115,7,Other
Sparkling Raspberry Lemonade Water Beverage,334,115,7,Other
Raspberry Lime Essence Sparkling Mountain Spring Water,48083,115,7,Other
Organic Pear,3971,115,7,Other
Tangerine Lemongrass Sparkling Water,39199,115,7,Other
Organic Maple Water,35152,115,7,Other
Black Cherry New York Seltzer Water,5454,115,7,Other
Pomegranate Blueberry Sparkling Water,1154,115,7,Other
Mandarin Orange Sparkling Seltzer Water,11194,115,7,Other
Natural with Sport Cap Alpine Spring Water,7878,115,7,Other
Pomegranate Berry Sparkling Water with Juice,13357,115,7,Other
Ultra-Purified Water,47231,115,7,Other
100% Raw Coconut Water With Fair Trade Coffee,26909,115,7,Other
Raspberry Seltzer Water,18595,115,7,Other
Pink Grapefruit Sparkling Water with Juice,46576,115,7,Other
Raspberry Lime Sparkling Mountain Spring Water,29368,115,7,Other
Lemon Lime Sparkling Energy Water,7584,115,7,Other
Ultra Purified Drinking Water,39396,115,7,Other
Calorie Free Seltzer Water,38873,115,7,Other
Sparkling Grapefruit Seltzer,2019,115,7,Other
Sparkling Lemon Seltzer,7346,115,7,Other
Sparkling Lemon Seltzer Water,608,115,7,Other
"Sparkling Water, Orange",4831,115,7,Other
Unsweet Watermelon Sparkling Water,30567,115,7,Other
Premium Spring Water,44054,115,7,Other
"Seltzer, Cherry Pomegranate",18807,115,7,Other
No Calories No Caffeine Seltzer Water,19030,115,7,Other
Premium Natural Mixers Elderflower Tonic Water,47641,115,7,Other
Zero Calorie Sparkling Water Black Cherry,17340,115,7,Other
Blackberry Seltzer,10581,115,7,Other
Enhanced Water,41192,115,7,Other
Berry Sparkling Water,45475,115,7,Other
Orange Blossom Water,1628,115,7,Other
100% Natural Seltzer Calorie-Free Raspberry Lime,28148,115,7,Other
Nutrient Enhanced Water,7049,115,7,Other
Lemon Sparkling Natural Spring Water,35784,115,7,Other
Smart Water,39326,115,7,Other
Lime Sparkling Water Beverage,41022,115,7,Other
Splash Mandarin Orange Flavored Water,33319,115,7,Other
Premium Artesian Sparkling Water,10624,115,7,Other
Coconut Water Pineapple,27598,115,7,Other
Unsweet Lime Water,36271,115,7,Other
Unsweetened Pear Essence Water,11399,115,7,Other
"Sparkling Water, Cran-Raspberry",47060,115,7,Other
Sparkling Water Beverage Lemon,9967,115,7,Other
Organic Coconut Sparkling Water,48467,115,7,Other
Water Maple,5382,115,7,Other
Black Cherry Water,29064,115,7,Other
Orange Mango Naturally Flavored Sparkling Mountain Spring Water,18387,115,7,Other
Lemon Lime Essence,23656,115,7,Other
Sparkling Water Beverage Lime,33549,115,7,Other
Organic Sparkling Grapefruit Beverage,14326,115,7,Other
Lemon Sparkling Natural Mineral Water,35020,115,7,Other
Raspberry Lime Sparkling Water,15944,115,7,Other
Cucumber Mint Sparkling Water,30504,115,7,Other
Sparkling Lime Water,26224,115,7,Other
Naturally Sparkling Mineral Water,6732,115,7,Other
Peppermint Water,42190,115,7,Other
Artesian Still Water,41649,115,7,Other
Berry Sparkling Water Beverage,15187,115,7,Other
Elderflower Tonic Water,36229,115,7,Other
Mixed Berry Sparkling Water,13371,115,7,Other
Lemon-Lime Sparkling Water Beverage,43434,115,7,Other
Sparkling Water Beverage Berry,18364,115,7,Other
Sparkling Beverage Orange Dry,26840,115,7,Other
Sparkling Raspberry Lime Natural Spring Water,37965,115,7,Other
Classic Seltzer,44295,115,7,Other
Citron Lemon Lime Sparkling Water,46567,115,7,Other
Unsweet Cherry Sparkling Water,48870,115,7,Other
Premium Natural Mixers Club Soda,26272,115,7,Other
Zero Calorie Fruitwater Fizzy Lemonade,45341,115,7,Other
Unsweet Strawberry Kiwi Sparkling Water,11195,115,7,Other
Crisp Apple Sparkling Water,2559,115,7,Other
Still Artesian Distilled Water,33587,115,7,Other
Raspberry Lemonade Sparkling Spring Water,36797,115,7,Other
Cactus Water with Starfruit & Green Tea,7661,115,7,Other
Sparking Water,31418,115,7,Other
"Mineral Water, Carbonated",22098,115,7,Other
Cranberry Raspberry Sparkling Water,42351,115,7,Other
Essence Peach Nectarine,8577,115,7,Other
All Natural Raspberry Sparkling Seltzer Water,16722,115,7,Other
Chilled Coconut Water,10294,115,7,Other
Carbonated Water,44271,115,7,Other
Black Raspberry,6918,115,7,Other
Still Artesian Water,3429,115,7,Other
Mandarin Lime Sparkling Water Beverage,49123,115,7,Other
Cactus Water With Cucumber and Green Tea,45564,115,7,Other
Maple Water,36094,115,7,Other
Splash Lemon Flavored Water,18093,115,7,Other
Pure Coconut Water With Pulp,31312,115,7,Other
Wild Prickly Pear Cactus Water,21745,115,7,Other
Vanilla Cream Seltzer,38821,115,7,Other
Cherry Lime,23906,115,7,Other
Plain Pre-Sliced Bagels,46842,93,3,Other
Presliced Everything Bagels,17341,93,3,Other
Carrot Raisin Flax Muffins,36342,93,3,Other
Light Multi-Grain English Muffins,33351,93,3,Other
Plain Mini Bagels,42460,93,3,Other
Organic Sprouted English Muffin,3849,93,3,Other
Hearty Grains 100% Whole Wheat English Muffins,3919,93,3,Other
Blueberry Muffins,38775,93,3,Other
Mini Blueberry Muffins,44275,93,3,Other
Cinnamon Raisin Brioche,26329,93,3,Other
Authentic French Brioche,48857,93,3,Other
Everything Bagels,16262,93,3,Other
Butter Croissant,27864,93,3,Other
Deluxe Plain Bagels,13866,93,3,Other
Organic Sprouted Wheat Bagels,14764,93,3,Other
Sprouted Organic Cinnamon Raisin English Muffins,19366,93,3,Other
Plain Bagels,20738,93,3,Other
100% Whole Wheat Slice English Muffins,32239,93,3,Other
Original English Muffins,3308,93,3,Other
Gluten Free Plain Bagels,42508,93,3,Other
Organic Whole Grain Wheat English Muffins,17706,93,3,Other
Organic Multigrain with Flax English Muffins,22170,93,3,Other
Original Whole Grain English Muffins,3847,93,3,Other
Cinnamon Raisin Swirl Pre-Sliced Bagels,20682,93,3,Other
Original Nooks & Crannies English Muffins,10673,93,3,Other
Gluten Free Blueberry Muffins,27554,93,3,Other
Frosted Strawberry Toaster Pastries,42669,93,3,Other
Golden White English Muffins,37840,93,3,Other
Original Nooks & Crannies Cinnamon Raisin English Muffins,44666,93,3,Other
100% Whole Wheat Bagels,13541,93,3,Other
Organic White English Muffins,12258,93,3,Other
Sprouted Wheat Onion & Poppyseed Bagels,21269,93,3,Other
Morning Rounds Muesli Fruit & Grain Buns,25832,93,3,Other
Chocolate Chip Muffins,13884,93,3,Other
Cinnamon Rolls,18212,93,3,Other
Wheat English Muffins,33037,93,3,Other
Mixed Berry English Tea Scones,39747,93,3,Other
White English Muffins,38988,93,3,Other
100% Whole Wheat Pre-Sliced Bagels,35458,93,3,Other
Everything Bagel,21158,93,3,Other
Extra Crisp English Muffins,35181,93,3,Other
Blueberry Bagels,42403,93,3,Other
Deluxe Everything Bagels,5422,93,3,Other
Deluxe Cinnamon Raisin Bagels,40028,93,3,Other
Bagel Thins Everything,28515,93,3,Other
Sliced Onion Bagels,836,93,3,Other
Onion Bagels,39107,93,3,Other
Gluten Free Double Chocolate Muffins,36857,93,3,Other
Blueberry English Tea Scones,29820,93,3,Other
Blueberry Muffin,23472,93,3,Other
Chocolate Breakfast Bites,34370,93,3,Other
English Muffins,116,93,3,Other
Sprouted Whole Grain & Seed English Muffins,6402,93,3,Other
Gluten Free Whole Grain Bagels,18095,93,3,Other
Limited Edition Pre-Sliced Bagels Pumpkin Spice,49333,93,3,Other
Everything Inside Bagels,10212,93,3,Other
Flourless  Sprouted Whole Grain 7-Sprouted Grains English Muffins,24062,93,3,Other
Whole Wheat English Muffins,31371,93,3,Other
"Muffins, Flax, Wild Blueberry",42637,93,3,Other
Raspberry English Tea Scones,15487,93,3,Other
Cinnamon Raisin Bagel Thins,6869,93,3,Other
Plain Bagelettes,30561,93,3,Other
Cinnamon Raisin Bagels,30764,93,3,Other
Organic Spelt English Muffins,6651,93,3,Other
Apple Pie Flavored English Muffins,2949,93,3,Other
100% Whole Wheat Mini Bagels,34070,93,3,Other
Chocolate Lover's Variety Pack Donuts Classic,28923,93,3,Other
Sesame Bagels,46516,93,3,Other
Apple Turnover,5201,93,3,Other
Mini Muffins,42897,93,3,Other
English Tea Scones Original,18026,93,3,Other
Original Spelt Organic English Muffins,10176,93,3,Other
Sliced Blueberry Bagels,28221,93,3,Other
Blueberry Scones,9703,93,3,Other
Chunky Chocolate Chip Flax Muffins,42680,93,3,Other
Large Croissants,11185,93,3,Other
Plain Pre-Sliced Bagel Thins,33508,93,3,Other
Cinnamon Raisin English Muffins,24721,93,3,Other
Organic Sprouted Wheat Sesame Bagels,18037,93,3,Other
100% Whole Wheat Pre-Sliced Bagel Thins,2374,93,3,Other
Double Protein Oatmeal English Muffins,13250,93,3,Other
Currant English Tea Scones,19304,93,3,Other
Chocolate Crepes,30440,93,3,Other
Assorted Bagels,39964,93,3,Other
Toaster Size Premium Plain Bagels,24582,93,3,Other
Paleo English Muffins,29952,93,3,Other
100% Whole Wheat English Muffin 6 Ct,17352,93,3,Other
Cinnamon Swirl Bagels,36943,93,3,Other
Gluten Free Cinnamon Raisin Bagels,32285,93,3,Other
Gluten Free Original English Muffins,29326,93,3,Other
Croissants,29244,93,3,Other
Gluten free Sesame Bagels,48222,93,3,Other
Deluxe Blueberry Bagels,34886,93,3,Other
Blueberry Little Muffins,18886,93,3,Other
Gluten Free Frosted Blueberry Toaster Pastry,43432,93,3,Other
Mini Cinnamon Roll,16842,93,3,Other
Authentic French Chocolate Swirl Brioche,20309,93,3,Other
Toastable Apple Cinnamon Fruit & Grain Buns,23362,93,3,Other
9 Grain English Muffins,13694,93,3,Other
Breakfast Honey Oat Gluten Free Non GMO 5 Super Grains Bar Packs,45977,93,3,Other
Sprouted Wheat Cinnamon Raisin Bagels,32585,93,3,Other
Powdered Donut Holes,33353,93,3,Other
Plain Sliced Bagels,9471,93,3,Other
"Onion Bagels, 6 Pre-Sliced,",19209,93,3,Other
Deluxe Bagels Onion,19619,93,3,Other
Cherry Turnovers,29406,93,3,Other
Gluten Free Brown Rice English Muffins 6 ct,35425,93,3,Other
Blueberry Mini Muffins,7547,93,3,Other
Chocolate Croissant,46605,93,3,Other
Mini Chocolate Croissant,48647,93,3,Other
Banana Bam Bam Paleo Muffins,10896,93,3,Other
Danish Variety Pack,8958,93,3,Other
SARA LEE     15OZ PLAIN MINI BAGELS,48695,93,3,Other
Mini Chocolate Donuts,2880,93,3,Other
Double Chocolate Muffins,46065,93,3,Other
Double Fiber Whole Grain Sliced English Muffins,36118,93,3,Other
Carrot Muffins,44000,93,3,Other
Butter Horns,29649,93,3,Other
Brioche Bachelor Loaf,131,93,3,Other
Gluten Free Cinnamon Rolls,3079,93,3,Other
Honey Wheat English Muffins,37745,93,3,Other
Mixed Berry Galette,10100,93,3,Other
Chocolate Chip Mini Muffins,47992,93,3,Other
"Muffins, Flax, Cranberry Orange",48356,93,3,Other
Plain Bagel,29785,93,3,Other
Brown Sugar Cinnamon Pre-Sliced Mini Bagels,21601,93,3,Other
Bagels Plain Presliced,21157,93,3,Other
Marvelous Muffins Baking Mix,35228,93,3,Other
Sesame Seed New York Style Bagels,9995,93,3,Other
Multi-Grain English Muffins,32315,93,3,Other
Blueberry Mini Bagels,17252,93,3,Other
Mighty Bagels,45552,93,3,Other
Whole Wheat Pre-Sliced Mini Bagels,19340,93,3,Other
Sourdough English Muffins,18894,93,3,Other
Original English Muffin,46975,93,3,Other
High Fiber English Muffin,2776,93,3,Other
Cheese Danish,38935,93,3,Other
Sliced Sesame Bagels,3146,93,3,Other
Chocolate Iced Doughnuts with Kreme Filling,27547,93,3,Other
Multi Grain Bagels,48753,93,3,Other
Donettes Mini Glazed Donuts,41572,93,3,Other
Sourdough English Muffin,37439,93,3,Other
Plain New York Bagels,48617,93,3,Other
Healthy Brain Bagels,6246,93,3,Other
Bagels,2071,93,3,Other
Whole Wheat Bagels,20090,93,3,Other
Egg Bagels,43029,93,3,Other
Cinnamon Raisin Mini Bagels,12874,93,3,Other
"Mini Bagels, Whole Grain Blueberry",34620,93,3,Other
Yam Good Paleo Muffins,28129,93,3,Other
100% Whole Wheat English Muffins,30038,93,3,Other
"Everything Bagel,kattle Boiled & Hearth Baked Slice",1612,93,3,Other
24 Carrot Gold Paleo Muffins,40872,93,3,Other
The Hulk Banana Coconut Spirulina Paleo Muffins,34747,93,3,Other
Banana Nut Muffins,37396,93,3,Other
Cinnamon Raisin Toaster Bagels,25433,93,3,Other
Organic Cinnamon Raisin English Muffins,42458,93,3,Other
Bran Muffins,9872,93,3,Other
Honey Oat,1696,93,3,Other
Original Glazed Doughnuts,37736,93,3,Other
Glazed Apple Fritters,32355,93,3,Other
Cinnamon Swirl Bread,40716,93,3,Other
Texas Toast Bread,46773,93,3,Other
Egg,24995,93,3,Other
Brioche Sandwich Buns,37006,93,3,Other
Snack Size Powdered Donuts,19839,93,3,Other
Fruit Horns,26965,93,3,Other
SARA LEE     14OZ ENGLISH MUFFINS,32244,93,3,Other
Limited Edition Cranberry Bagels,18783,93,3,Other
Frosted Devil's Food Donuts,47901,93,3,Other
Seasonal Mini Bagel,37512,93,3,Other
Apple Cinnamon Scones,11708,93,3,Other
Mini Croissant,41282,93,3,Other
Mini Bagels,43152,93,3,Other
Toaster English Muffins Wheat Made With a Touch of Honey,35740,93,3,Other
Swirl Thick Slice Pumpkin Spice Bread,7171,93,3,Other
Raisin Snails,47841,93,3,Other
Chocolate Cherry Chia Paleo Muffins,5579,93,3,Other
Sugar Cookie,47635,93,3,Other
100% Whole Wheat Bagel,11518,93,3,Other
"Parsley, Italian (Flat), New England Grown",1529,16,4,Other
Raspberries,43352,32,4,Other
Baby Cucumbers,8571,32,4,Other
Clementines,6184,32,4,Other
Gourmet Tomato Medley,31805,32,4,Other
Hass Avocados,12341,32,4,Other
Rainbow Bell Peppers,21292,32,4,Other
Cauliflower Florets,5068,32,4,Other
Green Seedless Grapes,19691,32,4,Other
Key Limes,8953,32,4,Other
Seedless Cucumbers,30827,32,4,Other
Sweet Kale Salad Mix,38768,32,4,Other
Bag of Jumbo Yellow Onions,42282,32,4,Other
Fresh Cut Butternut Squash,13097,32,4,Other
Packaged Grape Tomatoes,8048,32,4,Other
Broccoli Florettes,4724,32,4,Other
Organic Avocados 5 Count,9189,32,4,Other
Sleeve of Tuscan Melons,27984,32,4,Other
Butter Lettuce,21385,32,4,Other
Fully Husked & Trimmed Super Sweet Corn,8803,32,4,Other
Leaf Spinach,11365,32,4,Other
Mini Seedless Watermelon Pack,3265,32,4,Other
Organic Blueberries Clamshell,35886,32,4,Other
Deep Green Blends Kale,7252,32,4,Other
Pineapple Spears,15772,32,4,Other
Baby Eggplant,23985,32,4,Other
California Heirloom Monviso Peeled Garlic,46266,32,4,Other
Red Bell Peppers,5985,32,4,Other
Vegetable Tray With Low Fat Dressing,35269,32,4,Other
Organic Limes,49083,32,4,Other
Baby Mixed Squash,35826,32,4,Other
Carrots,17794,83,4,Other
Yellow Onions,4605,83,4,Other
Organic Red Onion,8518,83,4,Other
Organic Yellow Onion,22935,83,4,Other
Organic Acorn Squash,15040,83,4,Other
Baby Seedless Cucumbers,15649,83,4,Other
Asparation/Broccolini/Baby Broccoli,38400,83,4,Other
Organic Zucchini,45007,83,4,Other
Organic Russet Potato,19678,83,4,Other
Organic Baby Broccoli,34243,83,4,Other
Orange Bell Pepper,15290,83,4,Other
Sweet Potato Yam,14897,83,4,Other
Broccoli Rabe,4853,83,4,Other
White Onion,5818,83,4,Other
"Dressing, Jersey Sweet Onion, Calorie Free",7628,83,4,Other
Red Potatoes,13733,83,4,Other
Organic White Onions,38383,83,4,Other
Red Onion,44142,83,4,Other
Organic Sweet Onion,34824,83,4,Other
Hass Avocado,38739,83,4,Other
Organic Red Potatoes,5652,83,4,Other
Gold Potato,39558,83,4,Other
Parsnip,38419,83,4,Other
Russet Potatoes,26882,83,4,Other
Red Onions,3243,83,4,Other
Jalapeno Pepper,23803,83,4,Other
Glory's Sweet Cherry Tomatoes,32605,83,4,Other
Gold Pearl Onions,9206,83,4,Other
Bag of Fresh White Pearl Onions,24133,83,4,Other
Apricots,1000,18,10,Other
Dried Mango,5161,18,10,Other
Organic Black Mission Figs,22827,18,10,Other
Vegetable Chips,30365,18,10,Other
Organic Hunza Golden Raisins,10224,18,10,Other
Whole Medjool Dates,10540,18,10,Other
Organic Blueberries Package,19628,18,10,Other
"Fit Super A Juice, Cold Pressed, Carrot/Apple/Ginger",48778,18,10,Other
Naturally Sweet Plantain Chips,38007,18,10,Other
Organic White Popcorn,14665,18,10,Other
Crystallized Ginger Chunks,28655,18,10,Other
Turkish Apricots,14611,18,10,Other
Organic Ezekiel 49 Bread Cinnamon Raisin,32665,112,3,Other
Butter Top White Bread,22754,112,3,Other
Organic Bread with 21 Whole Grains,18362,112,3,Other
100% Whole Wheat Bread,5077,112,3,Other
Artesano Style Bread,30274,112,3,Other
Sprouted Multi-Grain Bread,36606,112,3,Other
Sweet Baguette,14467,112,3,Other
Organic 21 Grain Thin Sliced Bread,45123,112,3,Other
Hearty Style 100% Whole Grain Whole Wheat Bread,13991,112,3,Other
Organic California Style Sprouted Bread,6656,112,3,Other
Honey Wheat Bread,45064,112,3,Other
Organic Soft Wheat Bread,30252,112,3,Other
Sprouted Whole Wheat Bread,17419,112,3,Other
Country White Bread,5385,112,3,Other
Gluten Free White Sandwich Bread,39097,112,3,Other
Premium Italian Bread,44042,112,3,Other
"Bread, Natural Fitness",19398,112,3,Other
Multigrain Bread,15462,112,3,Other
White Sandwich Bread,21497,112,3,Other
Challah Bread,49621,112,3,Other
Brownberry 100% 12 Grain Bread,20561,112,3,Other
Split Top Wheat Bread,48762,112,3,Other
Sourdough Bread,21267,112,3,Other
Ezekiel 4:9 Bread Organic Sprouted Whole Grain,18027,112,3,Other
Classic Wheat Bread,12218,112,3,Other
Organic Good Seed Bread,2855,112,3,Other
Organic Honey Sweet Whole Wheat Bread,3896,112,3,Other
"Bread, Double Fiber",12863,112,3,Other
"Bread, Country Buttermilk",29615,112,3,Other
Classic White Bread,35383,112,3,Other
French Bread,41277,112,3,Other
Organic Colorado Cracked Wheat Bread,12004,112,3,Other
Gluten Free Millet-Chia Bread,36397,112,3,Other
Cinnamon Raisin Bread,8467,112,3,Other
Whole Wheat Bread,13517,112,3,Other
Hearty Nine Grain Bread,22537,112,3,Other
